BPI,TeamName
21.6,Villanova
21.0,Virginia
19.6,Duke
19.3,Purdue
18.6,Cincinnati
17.9,Michigan State
16.7,North Carolina
16.3,Kansas
16.0,Gonzaga
15.4,West Virginia
14.9,Xavier
14.9,Texas Tech
14.7,Wichita State
14.6,Michigan
14.0,Tennessee
13.9,Ohio State
13.4,Houston
13.1,Clemson
12.9,Auburn
12.6,Kentucky
12.5,Arizona
12.5,TCU
12.3,Creighton
12.2,Saint Mary's
11.8,Florida
11.7,Butler
11.5,Seton Hall
11.5,Penn State
11.3,Virginia Tech
11.0,Rhode Island
11.0,Nevada
10.9,Louisville
10.9,Davidson
10.8,Miami
10.7,Notre Dame
10.6,Baylor
10.5,Arkansas
10.4,Texas A&M
10.3,Florida State
10.1,Texas
10.0,Maryland
9.7,Middle Tennessee
9.6,Oklahoma
9.4,Missouri
9.4,NC State
9.3,Arizona State
9.3,Kansas State
9.2,USC
9.0,Marquette
8.9,Loyola (Chi)
8.8,San Diego State
8.7,Syracuse
8.7,Alabama
8.7,Louisiana
8.4,Western Kentucky
8.3,St. Bonaventure
8.2,UCLA
8.2,Boise State
8.2,Oklahoma State
7.9,Old Dominion
7.8,Murray State
7.6,Nebraska
7.6,LSU
7.5,Wisconsin
7.5,South Dakota
7.4,Providence
7.4,Vermont
7.2,New Mexico State
7.1,Mississippi State
7.0,SMU
6.9,Furman
6.9,Oregon
6.7,Georgia
6.7,BYU
6.7,Northern Kentucky
6.6,Northwestern
6.5,Belmont
6.5,Indiana
6.5,Buffalo
6.4,Boston College
6.3,Utah
6.2,Fresno State
6.2,Bucknell
6.2,St. John's
6.0,Temple
5.9,UNC Greensboro
5.9,South Dakota State
5.9,East Tennessee State
5.8,Iowa
5.8,Vanderbilt
5.7,Utah Valley
5.6,South Carolina
5.2,Wake Forest
5.0,Northeastern
4.7,Georgia State
4.6,UNLV
4.5,Iowa State
4.4,Stanford
4.3,Illinois
4.2,Pennsylvania
4.0,UCF
3.9,Georgetown
3.8,Ole Miss
3.8,Montana
3.7,Minnesota
3.7,New Mexico
3.6,Grand Canyon
3.6,Tulsa
3.5,UAB
3.5,DePaul
3.5,Florida Gulf Coast
3.4,Stephen F. Austin
3.3,Iona
3.3,Oregon State
3.2,Washington
3.2,Charleston
3.2,Mercer
2.9,Missouri State
2.8,Toledo
2.8,Saint Joseph's
2.8,UT Arlington
2.7,Liberty
2.6,Canisius
2.6,Georgia Tech
2.6,Marshall
2.6,VCU
2.4,Northern Colorado
2.4,Georgia Southern
2.4,Rutgers
2.2,Jacksonville State
2.1,Towson
2.1,Northern Iowa
2.1,San Diego
1.9,Wright State
1.8,Albany
1.7,Bradley
1.7,Rider
1.7,Winthrop
1.6,Wofford
1.6,Louisiana Tech
1.5,Harvard
1.4,Saint Louis
1.4,Colorado
1.4,Hofstra
1.3,La Salle
1.3,Wyoming
1.2,UC Irvine
1.2,Weber State
1.1,Idaho
1.1,UC Santa Barbara
1.1,Valparaiso
1.0,William & Mary
1.0,Utah State
1.0,Portland St
0.8,Oakland
0.7,Eastern Washington
0.6,UC Davis
0.6,Memphis
0.5,Southern Illinois
0.5,Radford
0.4,Illinois State
0.2,Fort Wayne
0.2,Yale
0.2,Dayton
0.1,San Francisco
0.1,Troy
0.1,Evansville
0.1,Tulane
0.0,North Dakota State
-0.0,Eastern Michigan
-0.0,Monmouth
-0.1,Ball State
-0.1,UConn
-0.1,Central Michigan
-0.1,UNC Asheville
-0.2,Princeton
-0.2,UMBC
-0.3,Drake
-0.3,Lipscomb
-0.5,Richmond
-0.6,CS Fullerton
-0.6,Nicholls
-0.7,Wagner
-0.7,Indiana State
-1.0,Pacific
-1.0,Duquesne
-1.1,Colgate
-1.2,UT San Antonio
-1.3,Lamar
-1.3,Appalachian State
-1.4,Miami (OH)
-1.6,Campbell
-1.7,St. Francis (PA)
-1.7,Western Michigan
-1.7,Massachusetts
-1.9,George Washington
-1.9,UIC
-1.9,Columbia
-1.9,Austin Peay
-2.0,High Point
-2.0,Ohio
-2.0,Coastal Carolina
-2.0,Navy
-2.1,North Texas
-2.1,Seattle
-2.2,South Alabama
-2.3,Niagara
-2.3,UL Monroe
-2.4,Fairfield
-2.4,Kent State
-2.5,Tennessee Tech
-2.5,Saint Peter's
-2.5,Central Arkansas
-2.5,Stony Brook
-2.7,Charleston Southern
-2.8,Texas State
-2.8,Manhattan
-2.8,George Mason
-3.0,Washington State
-3.0,SE Louisiana
-3.2,Tennessee State
-3.2,Lehigh
-3.4,Sam Houston State
-3.4,Army
-3.4,Hartford
-3.4,Long Beach State
-3.4,Hawai'i
-3.6,Denver
-3.6,James Madison
-3.7,Milwaukee
-3.8,Elon
-3.8,New Hampshire
-3.9,Boston University
-4.0,Texas Southern
