DayNum,NumOT,OppAst,OppBlk,OppDR,OppFGA,OppFGA3,OppFGM,OppFGM3,OppFTA,OppFTM,OppLoc,OppOR,OppPF,OppScore,OppStl,OppTO,OppTeamID,Season,TeamAst,TeamBlk,TeamDR,TeamFGA,TeamFGA3,TeamFGM,TeamFGM3,TeamFTA,TeamFTM,TeamLoc,TeamOR,TeamPF,TeamScore,TeamStl,TeamTO,TeamTeamID,Won
134,1,16,0,28,67,31,29,12,31,14,N,17,22,84,5,15,1411,2003,17,3,30,69,29,32,11,26,17,N,14,22,92,5,12,1421,1
134,1,17,3,30,69,29,32,11,26,17,N,14,22,92,5,12,1421,2003,16,0,28,67,31,29,12,31,14,N,17,22,84,5,15,1411,0
136,0,12,3,26,64,16,20,4,7,7,N,8,15,51,10,17,1436,2003,22,7,36,66,23,31,7,14,11,N,11,8,80,10,16,1112,1
136,0,22,7,36,66,23,31,7,14,11,N,11,8,80,10,16,1112,2003,12,3,26,64,16,20,4,7,7,N,8,15,51,10,17,1436,0
136,0,11,5,22,69,28,25,7,21,14,N,20,18,71,2,12,1272,2003,18,4,27,59,14,31,6,22,16,N,10,19,84,7,9,1113,1
136,0,18,4,27,59,14,31,6,22,16,N,10,19,84,7,9,1113,2003,11,5,22,69,28,25,7,21,14,N,20,18,71,2,12,1272,0
136,0,20,6,17,60,17,27,7,17,12,N,14,21,73,6,21,1166,2003,15,1,20,53,7,29,3,25,18,N,11,19,79,13,18,1141,1
136,0,15,1,20,53,7,29,3,25,18,N,11,19,79,13,18,1141,2003,20,6,17,60,17,27,7,17,12,N,14,21,73,6,21,1166,0
136,1,16,8,26,56,21,25,9,20,15,N,10,19,74,5,14,1301,2003,17,2,20,64,20,27,7,23,15,N,18,14,76,8,13,1143,1
136,1,17,2,20,64,20,27,7,23,15,N,18,14,76,8,13,1143,2003,16,8,26,56,21,25,9,20,15,N,10,19,74,5,14,1301,0
136,0,11,4,26,64,17,20,2,13,11,N,15,22,53,8,11,1140,2003,8,8,29,52,14,17,4,27,20,N,12,16,58,3,14,1163,1
136,0,8,8,29,52,14,17,4,27,20,N,12,16,58,3,14,1163,2003,11,4,26,64,17,20,2,13,11,N,15,22,53,8,11,1140,0
136,0,8,4,24,54,11,18,3,22,18,N,11,19,57,5,19,1161,2003,4,8,27,54,13,19,4,31,25,N,13,23,67,10,16,1181,1
136,0,4,8,27,54,13,19,4,31,25,N,13,23,67,10,16,1181,2003,8,4,24,54,11,18,3,22,18,N,11,19,57,5,19,1161,0
136,0,13,6,22,66,27,26,10,10,7,N,13,24,69,7,10,1153,2003,12,2,28,47,14,20,6,37,28,N,8,15,74,2,12,1211,1
136,0,12,2,28,47,14,20,6,37,28,N,8,15,74,2,12,1211,2003,13,6,22,66,27,26,10,10,7,N,13,24,69,7,10,1153,0
136,0,10,5,18,58,24,22,8,13,8,N,17,16,60,6,14,1443,2003,15,4,23,56,14,24,5,14,12,N,15,14,65,11,14,1228,1
136,0,15,4,23,56,14,24,5,14,12,N,15,14,65,11,14,1228,2003,10,5,18,58,24,22,8,13,8,N,17,16,60,6,14,1443,0
136,0,13,1,19,56,17,23,6,10,9,N,13,15,61,6,13,1429,2003,13,4,20,51,6,28,2,11,6,N,7,17,64,8,11,1242,1
136,0,13,4,20,51,6,28,2,11,6,N,7,17,64,8,11,1242,2003,13,1,19,56,17,23,6,10,9,N,13,15,61,6,13,1429,0
136,0,14,1,20,54,15,24,5,25,15,N,14,20,68,4,9,1221,2003,14,3,20,51,16,22,9,23,19,N,11,23,72,4,10,1266,1
136,0,14,3,20,51,16,22,9,23,19,N,11,23,72,4,10,1266,2003,14,1,20,54,15,24,5,25,15,N,14,20,68,4,9,1221,0
136,0,19,0,18,65,19,26,8,21,11,N,11,19,71,6,13,1356,2003,7,6,32,52,13,28,5,18,11,N,9,19,72,4,23,1281,1
136,0,7,6,32,52,13,28,5,18,11,N,9,19,72,4,23,1281,2003,19,0,18,65,19,26,8,21,11,N,11,19,71,6,13,1356,0
136,0,15,3,23,66,23,23,8,20,15,N,14,25,69,11,12,1454,2003,7,6,33,54,13,23,3,25,21,N,11,19,70,6,20,1323,1
136,0,7,6,33,54,13,23,3,25,21,N,11,19,70,6,20,1323,2003,15,3,23,66,23,23,8,20,15,N,14,25,69,11,12,1454,0
136,0,8,2,22,52,20,21,6,8,6,N,7,23,54,7,18,1354,2003,16,3,24,52,18,24,10,24,13,N,11,12,71,8,14,1328,1
136,0,16,3,24,52,18,24,10,24,13,N,11,12,71,8,14,1328,2003,8,2,22,52,20,21,6,8,6,N,7,23,54,7,18,1354,0
136,0,7,0,25,61,18,20,4,32,25,N,17,18,69,3,11,1360,2003,16,8,29,64,24,29,8,15,11,N,12,24,77,4,14,1390,1
136,0,16,8,29,64,24,29,8,15,11,N,12,24,77,4,14,1390,2003,7,0,25,61,18,20,4,32,25,N,17,18,69,3,11,1360,0
136,0,11,3,16,66,28,28,9,9,6,N,12,19,71,3,11,1173,2003,18,1,26,57,12,33,8,13,10,N,8,11,84,6,12,1409,1
136,0,18,1,26,57,12,33,8,13,10,N,8,11,84,6,12,1409,2003,11,3,16,66,28,28,9,9,6,N,12,19,71,3,11,1173,0
136,0,9,0,21,71,24,29,7,15,9,N,22,20,74,4,10,1451,2003,16,2,24,58,16,31,6,22,13,N,10,16,81,7,9,1458,1
136,0,16,2,24,58,16,31,6,22,13,N,10,16,81,7,9,1458,2003,9,0,21,71,24,29,7,15,9,N,22,20,74,4,10,1451,0
137,1,11,4,21,59,24,22,6,16,13,N,15,19,63,8,12,1386,2003,11,5,24,57,18,25,7,13,8,N,14,16,65,4,15,1120,1
137,1,11,5,24,57,18,25,7,13,8,N,14,16,65,4,15,1120,2003,11,4,21,59,24,22,6,16,13,N,15,19,63,8,12,1386,0
137,0,10,4,22,44,21,16,6,14,8,N,8,13,46,6,10,1280,2003,5,0,19,47,18,18,5,8,6,N,7,15,47,3,8,1139,1
137,0,5,0,19,47,18,18,5,8,6,N,7,15,47,3,8,1139,2003,10,4,22,44,21,16,6,14,8,N,8,13,46,6,10,1280,0
137,0,10,4,25,57,18,19,6,18,11,N,12,16,55,1,16,1358,2003,24,3,31,61,28,32,13,14,8,N,9,15,85,6,10,1196,1
137,0,24,3,31,61,28,32,13,14,8,N,9,15,85,6,10,1196,2003,10,4,25,57,18,19,6,18,11,N,12,16,55,1,16,1358,0
